,Location,Type,2 Axles Cash / Non-Tag,2 Axles EZ TAG,3 Axles,4 Axles,5 Axles,6 Axles
0,Cook Road,Exit Ramp,Cash Not Accepted / $1.25,$1.20,$2.75,$3.75,$5.00,$6.25
1,Wilcrest East Mainlane,Pass Through,Cash Not Accepted / $1.75,$1.50,$3.50,$5.25,$7.00,$8.75
2,Beltway 8 (to southbound Sam Houston),Exit Ramp,Cash Not Accepted / $0.50,$0.50,$1.25,$1.75,$2.00,$2.50
3,Gessner Road East,Exit Ramp,Cash Not Accepted / $0.50,$0.40,$1.00,$1.50,$2.10,$2.50
4,Fondren Road,Exit Ramp,Cash Not Accepted / $0.50,$0.50,$1.25,$1.75,$2.00,$2.50
5,Fondren East Mainlane,Pass Through,Cash Not Accepted / $1.75,$1.50,$3.50,$5.25,$7.00,$8.75
6,Fondren East,On Ramp,Cash Not Accepted / $0.75,$0.75,$1.50,$2.25,$3.00,$3.75
7,South Post Oak Blvd,Exit Ramp,Cash Not Accepted / $0.50,$0.40,$1.00,$1.50,$2.10,$2.50
8,Westpark Drive East,Exit Ramp,Cash Not Accepted / $0.50,$0.40,$1.00,$1.50,$2.10,$2.50
