,Location,Type,2 Axles Cash / Non-Tag,2 Axles EZ TAG,3 Axles,4 Axles,5 Axles,6 Axles
0,Hardy North Plaza,Pass Through,Cash Not Accepted / $1.75,$1.50,$3.50,$5.25,$7.00,$8.75
1,FM 1960,On Ramp,Cash Not Accepted / $1.25,$1.20,$2.75,$3.75,$5.00,$6.25
2,Richey Road,On Ramp,Cash Not Accepted / $1.25,$1.20,$2.75,$3.75,$5.00,$6.25
3,Rankin Road,On Ramp,Cash Not Accepted / $1.00,$0.90,$2.00,$3.00,$4.00,$5.00
4,Airport Connector,Pass Through,Cash Not Accepted / $1.25,$1.20,$2.75,$3.75,$5.00,$6.25
5,Hardy South Plaza,Pass Through,Cash Not Accepted / $1.75,$1.50,$3.50,$5.25,$7.00,$8.75
6,Aldine Mail Route,On Ramp,Cash Not Accepted / $1.25,$1.20,$2.75,$3.75,$5.00,$6.25
7,Little York,On Ramp,Cash Not Accepted / $1.25,$1.20,$2.75,$3.75,$5.00,$6.25
8,Tidwell Road,On Ramp,Cash Not Accepted / $1.00,$0.90,$2.00,$3.00,$4.00,$5.00
